query_trait,ontology,term_id,term_label,term_definition
body size (apterous),OBA,OBA:0000107,multivesicular body size,The size of a multivesicular body.
body size (apterous),OBA,OBA:0002793,ciliary body size,The size of a ciliary body.
body size (apterous),OBA,OBA:0003321,pineal body size,The size of a pineal body.
body size (apterous),OBA,OBA:VT0100005,body size trait,The size of a multicellular organism.
body size (apterous),OBA,OBA:0002168,skin of body size,The size of a skin of body.
body size (apterous),PATO,PATO:0000117,size,A morphology quality inhering in a bearer by virtue of the bearer's physical magnitude.
body size (apterous),PATO,PATO:0000276,brood size,A reproductive quality inhering in the young of an animal by virtue of their number.
body size (apterous),PATO,PATO:0000586,increased size,A size quality which is relatively high.
body size (apterous),PATO,PATO:0000587,decreased size,A size quality which is relatively low.
body size (apterous),PATO,PATO:0005015,tapered size,A size quality inhering in an entity or set of entities in which size increases or decreases along the extent of the entity or set.
body size (length),OBA,OBA:VT0001256,body length,The length of a multicellular organism.
body size (length),OBA,OBA:0000107,multivesicular body size,The size of a multivesicular body.
body size (length),OBA,OBA:0002793,ciliary body size,The size of a ciliary body.
body size (length),OBA,OBA:0003321,pineal body size,The size of a pineal body.
body size (length),OBA,OBA:VT0100005,body size trait,The size of a multicellular organism.
body size (length),PATO,PATO:0000122,length,"Length often refers to the longer or longest dimension of an object, however, this is not always true. See https://github.com/pato-ontology/pato/issues/337 for full discussion."
body size (length),PATO,PATO:0000573,increased length,A length quality which is relatively large.
body size (length),PATO,PATO:0000574,decreased length,A length quality which is relatively small.
body size (length),PATO,PATO:0045054,normal length,A length quality which is relatively normal or average
body size (length),PATO,PATO:0000117,size,A morphology quality inhering in a bearer by virtue of the bearer's physical magnitude.
body size (mass),OBA,OBA:VT0001259,body mass,The mass of a multicellular organism.
body size (mass),OBA,OBA:VT0010482,body fat mass,The mass of a adipose tissue.
body size (mass),OBA,OBA:2045456,body mass to body extent ratio,A compound attribute that is the ratio of body mass to body extent.
body size (mass),OBA,OBA:0000107,multivesicular body size,The size of a multivesicular body.
body size (mass),OBA,OBA:0002793,ciliary body size,The size of a ciliary body.
body size (mass),PATO,PATO:0001019,mass density,A physical quality which inheres in a bearer by virtue of some influence is exerted by the bearer's mass per unit size.
body size (mass),PATO,PATO:0103001,total mass,"A quantitative quality that represents the sum of all 'mass' qualities of the component parts that constitute a whole entity. The total mass quality inheres in the whole entity and reflects the aggregate measure of mass across all its components, such that changes in the mass of individual components may not necessarily correspond to equivalent changes in the total mass of the whole.

Example of usage: ""total body mass"" represents the sum of the masses of all tissues and organs in the body, while ""liver mass"" represents only the mass of the liver. An increase in liver mass does not necessarily mean an increase in total body mass, as the mass of other organs or tissues may decrease simultaneously."
body size (mass),PATO,PATO:0000125,mass,"For any biological use of PATO, the concept that should be used is 'mass' and not 'weight'. For example, increased weight of an organism."
body size (mass),PATO,PATO:0001562,decreased mass,A mass which is lower than normal or average.
body size (mass),PATO,PATO:0001563,increased mass,A mass which is higher than normal or average.
body width,OBA,OBA:VT0015039,body width,The width of a multicellular organism.
body width,OBA,OBA:1000085,nucleus width,The width of a nucleus.
body width,OBA,OBA:2040146,cell width,The width of a cell.
body width,OBA,OBA:VT0000027,head width,The width of a head.
body width,OBA,OBA:VT0000132,epiphysis width,The width of a epiphysis.
body width,PATO,PATO:0000921,width,"Width often refers to the dimension that is greater than the extent in only one of the other two orthogonal dimensions, however, this is not always true. See https://github.com/pato-ontology/pato/issues/337 for full discussion."
body width,PATO,PATO:0000599,decreased width,A width which is relatively small.
body width,PATO,PATO:0000600,increased width,A width which is relatively large.
body width,PATO,PATO:0045061,normal width,A width which is relatively normal or average
body width,PATO,PATO:0040030,decreased width and length,"A width and length quality which is relatively small, where both width and length are decreased."
chill-coma recovery time,OBA,PATO:0000165,time,NA
chill-coma recovery time,OBA,OBA:2040171,sleep duration trait,The duration of a sleep.
chill-coma recovery time,OBA,OBA:2040011,trait in response to mycophenolic acid,A trait that affects the response to a stimulus with mycophenolic acid.
chill-coma recovery time,OBA,OBA:2045215,menstrual cycle attribute,The quality of a menstrual cycle.
chill-coma recovery time,OBA,OBA:2001010,age of onset of essential hypertension,The age at which essential hypertension manifestations first appear.
chill-coma recovery time,PATO,PATO:0000165,time,A quality in which events occur in sequence.
chill-coma recovery time,PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
chill-coma recovery time,PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
chill-coma recovery time,PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
chill-coma recovery time,PATO,PATO:0001005,latency,"This class is a candidate for obsoletion. The definition is not clear, and the placement under ""delayed"" is not consistent with the definition."
cold hardiness,OBA,OBA:2041033,level of cold-inducible RNA-binding protein in blood serum,The amount of a cold-inducible RNA-binding protein when measured in blood serum.
cold hardiness,OBA,OBA:2058752,level of cold-inducible RNA-binding protein (human) in cerebrospinal fluid,The amount of a cold-inducible RNA-binding protein (human) when measured in cerebrospinal fluid.
cold hardiness,OBA,OBA:2041165,level of cold shock domain-containing protein C2 in blood serum,The amount of a cold shock domain-containing protein C2 when measured in blood serum.
cold hardiness,OBA,OBA:2041166,level of cold shock domain-containing protein E1 in blood serum,The amount of a cold shock domain-containing protein E1 when measured in blood serum.
cold hardiness,OBA,OBA:2056371,level of cold shock domain-containing protein E1 (human) in cerebrospinal fluid,The amount of a cold shock domain-containing protein E1 (human) when measured in cerebrospinal fluid.
cold hardiness,PATO,PATO:0001306,decreased temperature,A temperature which is relatively low.
consumption rate,OBA,OBA:1000654,saccharin consumption quality,The quality of a saccharin consumption.
consumption rate,OBA,OBA:1000679,cocaine consumption quality,The quality of a cocaine consumption.
consumption rate,OBA,OBA:1000690,food consumption quality,The quality of a food consumption.
consumption rate,OBA,OBA:1000840,alcohol consumption quality,The quality of a alcohol consumption.
consumption rate,OBA,OBA:0002011,micturition rate,The rate of a micturition.
consumption rate,PATO,PATO:0000161,rate,A quality of a single process inhering in a bearer by virtue of the bearer's occurrence per unit time.
consumption rate,PATO,PATO:0000911,decreased rate,A rate which is relatively low.
consumption rate,PATO,PATO:0000912,increased rate,A rate which is relatively high.
consumption rate,PATO,PATO:0001492,growth rate,The rate or speed of the change in size of an individual entity or change in number of a population.
consumption rate,PATO,PATO:0001574,flow rate,A physical quality inhering in a bearer by virtue of the bearer's motion characteristic.
conversion efficiency,OBA,GO:0014862,regulation of skeletal muscle contraction by chemo-mechanical energy conversion,NA
conversion efficiency,OBA,OBA:2040170,sleep quality,The quality of a sleep.
conversion efficiency,OBA,OBA:VT0015058,brain physiology trait,The functionality of a brain.
conversion efficiency,OBA,OBA:2045295,brain connectivity attribute,The structure of a brain.
conversion efficiency,OBA,CHEBI:62803,fuel additive,Any additive that enhances the efficiency of fuel.
conversion efficiency,PATO,PATO:0001029,efficiency,A physical quality inhering in a bearer by virtue of ratio of the bearer's output to the bearer's input.
conversion efficiency,PATO,PATO:0001675,decreased efficiency,An efficiency which is relatively low.
conversion efficiency,PATO,PATO:0001676,increased efficiency,An efficiency which is relatively high.
conversion efficiency,PATO,PATO:0045015,normal efficiency,An efficiency which is relatively normal or average.
conversion efficiency,PATO,PATO:0001677,inefficient,An efficiency quality inhering in a bearer by virtue of the bearer's lacking efficiency.
conversion efficiency index,OBA,OBA:2045455,body mass to height ratio,A compound attribute that is the ratio of body mass to body height.
conversion efficiency index,OBA,OBA:2045456,body mass to body extent ratio,A compound attribute that is the ratio of body mass to body extent.
conversion efficiency index,OBA,GO:0014862,regulation of skeletal muscle contraction by chemo-mechanical energy conversion,NA
conversion efficiency index,OBA,OBA:2045282,facial pigmentation,The degree of pigmentation of a face.
conversion efficiency index,OBA,OBA:0003330,calcaneus size,The size of a calcaneus.
conversion efficiency index,PATO,PATO:0001029,efficiency,A physical quality inhering in a bearer by virtue of ratio of the bearer's output to the bearer's input.
conversion efficiency index,PATO,PATO:0001675,decreased efficiency,An efficiency which is relatively low.
conversion efficiency index,PATO,PATO:0001676,increased efficiency,An efficiency which is relatively high.
conversion efficiency index,PATO,PATO:0045015,normal efficiency,An efficiency which is relatively normal or average.
conversion efficiency index,PATO,PATO:0001677,inefficient,An efficiency quality inhering in a bearer by virtue of the bearer's lacking efficiency.
copulation duration,OBA,OBA:0004003,parturition duration,The duration of a parturition.
copulation duration,OBA,OBA:1001086,QRS duration,See also EFO_0005054
copulation duration,OBA,OBA:VT1000653,lactation duration,The length of a lactation.
copulation duration,OBA,GO:0007620,copulation,NA
copulation duration,OBA,OBA:0003416,penile erection duration,The duration of a penile erection.
copulation duration,PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
copulation duration,PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
copulation duration,PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
copulation duration,PATO,PATO:0001416,regular duration,A duration which has regular start and/or end times.
copulation duration,PATO,PATO:0001417,irregular duration,A duration quality of a process inhering in a bearer by virtue of the bearer's duration which has irregular start and/or end times.
development duration,OBA,OBA:0004003,parturition duration,The duration of a parturition.
development duration,OBA,OBA:1001086,QRS duration,See also EFO_0005054
development duration,OBA,OBA:VT1000653,lactation duration,The length of a lactation.
development duration,OBA,OBA:0003416,penile erection duration,The duration of a penile erection.
development duration,OBA,OBA:0004567,ovulation cycle duration,The duration of a ovulation cycle.
development duration,PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
development duration,PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
development duration,PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
development duration,PATO,PATO:0001416,regular duration,A duration which has regular start and/or end times.
development duration,PATO,PATO:0001417,irregular duration,A duration quality of a process inhering in a bearer by virtue of the bearer's duration which has irregular start and/or end times.
development rate,OBA,OBA:0002217,embryo development rate,The rate of a embryo development.
development rate,OBA,OBA:0003600,artery development rate,The rate of a artery development.
development rate,OBA,OBA:0003599,ovarian follicle development rate,The rate of a ovarian follicle development.
development rate,OBA,OBA:0004171,lung alveolus development rate,The rate of a lung alveolus development.
development rate,OBA,OBA:0005316,mesenchymal cell proliferation involved in lung development rate,The rate of a mesenchymal cell proliferation involved in lung development.
development rate,PATO,PATO:0000161,rate,A quality of a single process inhering in a bearer by virtue of the bearer's occurrence per unit time.
development rate,PATO,PATO:0000911,decreased rate,A rate which is relatively low.
development rate,PATO,PATO:0000912,increased rate,A rate which is relatively high.
development rate,PATO,PATO:0001492,growth rate,The rate or speed of the change in size of an individual entity or change in number of a population.
development rate,PATO,PATO:0001574,flow rate,A physical quality inhering in a bearer by virtue of the bearer's motion characteristic.
development time,OBA,OBA:0002217,embryo development rate,The rate of a embryo development.
development time,OBA,OBA:0003600,artery development rate,The rate of a artery development.
development time,OBA,OBA:0004100,blastocyst development morphology,The morphology of a blastocyst development.
development time,OBA,OBA:0004352,spermatid development occurrence,The occurrence of a spermatid development.
development time,OBA,OBA:1000796,cloaca development quality,The quality of a cloaca development.
development time,PATO,PATO:0000165,time,A quality in which events occur in sequence.
development time,PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
development time,PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
development time,PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
development time,PATO,PATO:0040049,male with DSD,A biological sex quality inhering in an individual or a population who are otherwise male of a non-hermaphroditic species who has ambiguous or atypical congenital development of the reproductive system.
developmental time,OBA,OBA:0002199,developmental process onset quality,The onset quality of a developmental process.
developmental time,OBA,OBA:2041354,level of developmental pluripotency-associated protein 4 in blood serum,The amount of a developmental pluripotency-associated protein 4 when measured in blood serum.
developmental time,OBA,OBA:2041986,level of interferon-related developmental regulator 1 in blood serum,The amount of a interferon-related developmental regulator 1 when measured in blood serum.
developmental time,OBA,OBA:2055948,level of interferon-related developmental regulator 1 (human) in cerebrospinal fluid,The amount of a interferon-related developmental regulator 1 (human) when measured in cerebrospinal fluid.
developmental time,OBA,OBA:2059480,level of developmental pluripotency-associated protein 4 (human) in cerebrospinal fluid,The amount of a developmental pluripotency-associated protein 4 (human) when measured in cerebrospinal fluid.
developmental time,PATO,PATO:0000165,time,A quality in which events occur in sequence.
developmental time,PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
developmental time,PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
developmental time,PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
developmental time,PATO,GO:0021700,developmental maturation,"A developmental process, independent of morphogenetic (shape) change, that is required for an anatomical structure, cell or cellular component to attain its fully functional state."
effective fecundity,OBA,OBA:0003697,multicellular organism fecundity,The fecundity of a multicellular organism.
effective fecundity,OBA,PATO:0000273,fecundity,NA
effective fecundity,OBA,PATO:0001695,increased fecundity,NA
effective fecundity,OBA,PATO:0001696,decreased fecundity,NA
effective fecundity,OBA,PATO:0045017,normal fecundity,A fecundity which is relatively normal or average.
effective fecundity,PATO,PATO:0000273,fecundity,A reproductive quality inhering in an organism or population by virtue of the bearer's potential reproductive capacity ad measured by the number of gametes.
effective fecundity,PATO,PATO:0001695,increased fecundity,A fecundity which is relatively high.
effective fecundity,PATO,PATO:0001696,decreased fecundity,A fecundity which is relatively low.
effective fecundity,PATO,PATO:0045017,normal fecundity,A fecundity which is relatively normal or average.
effective fecundity,PATO,PATO:0000769,coordinated,A coordination quality of inhering in a bearer by virtue of the bearer's having skillful and effective interaction of movement.
egg conversion ratio,OBA,OBA:VT1000294,egg quantity,The amount of a egg cell.
egg conversion ratio,OBA,OBA:1001091,egg shell trait,The quality of a eggshell.
egg conversion ratio,OBA,OBA:1001092,egg shell color,The color of a eggshell.
egg conversion ratio,OBA,OBA:2040151,shelled egg length,The length of a shelled egg.
egg conversion ratio,OBA,OBA:2040152,shelled egg width,The width of a shelled egg.
egg conversion ratio,PATO,PATO:0001470,ratio,A quality inhering in a bearer by virtue of the bearer's magnitude in proportion to the magnitude of another entity.
egg conversion ratio,PATO,PATO:0040042,decreased ratio,Example: decreased proportion of CD4 T cells relative to total T cells.
egg conversion ratio,PATO,PATO:0040043,increased ratio,Example: increased proportion of CD4 T cells relative to total T cells.
egg conversion ratio,PATO,PATO:0040071,nuclear/cytoplasmic ratio,A quality inhering in a cell by virtue of the ratio between the volume of its nucleus and the volume of its cytoplasm.
egg conversion ratio,PATO,PATO:0040072,high nuclear/cytoplasmic ratio,A high nuclear/cytolasmic ratio is 70% or higher.
egg count,OBA,OBA:VT1000294,egg quantity,The amount of a egg cell.
egg count,OBA,OBA:1001091,egg shell trait,The quality of a eggshell.
egg count,OBA,OBA:1001092,egg shell color,The color of a eggshell.
egg count,OBA,OBA:2040151,shelled egg length,The length of a shelled egg.
egg count,OBA,OBA:2040152,shelled egg width,The width of a shelled egg.
egg count,PATO,PATO:0005001,variability of count,A variability quality inhering in the bearer by virtue of the bearer having a variable number or count of an entity.
egg count,PATO,PATO:0001891,ovate,A spheroid quality inhering in a bearer by virtue of the bearer's exhibiting a continuous convex surface with an axis of symmetry and one axis longer than the other; egg-shaped.
egg count,PATO,CL:0000025,egg cell,A female gamete where meiosis has progressed to metaphase II and is able to participate in fertilization.
egg count,PATO,GO:0007343,egg activation,"The process in which the egg becomes metabolically active, initiates protein and DNA synthesis and undergoes structural changes to its cortex and/or cytoplasm."
egg count,PATO,PATO:0000070,amount,"This term was originally named ""presence"". It has been renamed to reduce ambiguity. Consider annotating with the reciprocal relation,PATO:0001555, has_number_of. For example, rather than E=fin ray Q=count in organism C=10, say E=organism Q=has number of E2= fin ray C=10."
egg hatch,OBA,OBA:VT1000294,egg quantity,The amount of a egg cell.
egg hatch,OBA,OBA:1001091,egg shell trait,The quality of a eggshell.
egg hatch,OBA,OBA:1001092,egg shell color,The color of a eggshell.
egg hatch,OBA,OBA:2040151,shelled egg length,The length of a shelled egg.
egg hatch,OBA,OBA:2040152,shelled egg width,The width of a shelled egg.
egg hatch,PATO,PATO:0001891,ovate,A spheroid quality inhering in a bearer by virtue of the bearer's exhibiting a continuous convex surface with an axis of symmetry and one axis longer than the other; egg-shaped.
egg hatch,PATO,CL:0000025,egg cell,A female gamete where meiosis has progressed to metaphase II and is able to participate in fertilization.
egg hatch,PATO,GO:0007343,egg activation,"The process in which the egg becomes metabolically active, initiates protein and DNA synthesis and undergoes structural changes to its cortex and/or cytoplasm."
egg hatch,PATO,GO:0007293,germarium-derived egg chamber formation,"Construction of a stage-1 egg chamber in the anterior part of the germarium, from the progeny of germ-line and somatic stem cells. An example of this is found in Drosophila melanogaster."
egg hatch,PATO,GO:0009792,embryo development ending in birth or egg hatching,"The process whose specific outcome is the progression of an embryo over time, from zygote formation until the end of the embryonic life stage. The end of the embryonic life stage is organism-specific and may be somewhat arbitrary; for mammals it is usually considered to be birth, for insects the hatching of the first instar larva from the eggshell."
egg mass,OBA,OBA:VT1000294,egg quantity,The amount of a egg cell.
egg mass,OBA,OBA:1001091,egg shell trait,The quality of a eggshell.
egg mass,OBA,OBA:1001092,egg shell color,The color of a eggshell.
egg mass,OBA,OBA:2040151,shelled egg length,The length of a shelled egg.
egg mass,OBA,OBA:2040152,shelled egg width,The width of a shelled egg.
egg mass,PATO,PATO:0000125,mass,"For any biological use of PATO, the concept that should be used is 'mass' and not 'weight'. For example, increased weight of an organism."
egg mass,PATO,PATO:0001019,mass density,A physical quality which inheres in a bearer by virtue of some influence is exerted by the bearer's mass per unit size.
egg mass,PATO,PATO:0001562,decreased mass,A mass which is lower than normal or average.
egg mass,PATO,PATO:0001563,increased mass,A mass which is higher than normal or average.
egg mass,PATO,PATO:0001681,molar mass,A physical quality that inheres in a homogeneous substance containing 6.02 x 1023 atoms or molecules.
egg size,OBA,OBA:VT1000294,egg quantity,The amount of a egg cell.
egg size,OBA,OBA:1001091,egg shell trait,The quality of a eggshell.
egg size,OBA,OBA:1001092,egg shell color,The color of a eggshell.
egg size,OBA,OBA:2040151,shelled egg length,The length of a shelled egg.
egg size,OBA,OBA:2040152,shelled egg width,The width of a shelled egg.
egg size,PATO,PATO:0000117,size,A morphology quality inhering in a bearer by virtue of the bearer's physical magnitude.
egg size,PATO,PATO:0000276,brood size,A reproductive quality inhering in the young of an animal by virtue of their number.
egg size,PATO,PATO:0000586,increased size,A size quality which is relatively high.
egg size,PATO,PATO:0000587,decreased size,A size quality which is relatively low.
egg size,PATO,PATO:0005015,tapered size,A size quality inhering in an entity or set of entities in which size increases or decreases along the extent of the entity or set.
egg viability,OBA,OBA:0004486,embryo viability,The viability of a embryo.
egg viability,OBA,OBA:VT1000294,egg quantity,The amount of a egg cell.
egg viability,OBA,OBA:1001091,egg shell trait,The quality of a eggshell.
egg viability,OBA,OBA:1001092,egg shell color,The color of a eggshell.
egg viability,OBA,OBA:2040151,shelled egg length,The length of a shelled egg.
egg viability,PATO,PATO:0000169,viability,An organismal quality inhering in a bearer or a population by virtue of the bearer's disposition to survive and develop normally or the number of surviving individuals in a given population.
egg viability,PATO,PATO:0001497,brood viability,A reproductive quality inhering in the young of an animal by virtue of the bearer's disposition to survive and develop normally.
egg viability,PATO,PATO:0001891,ovate,A spheroid quality inhering in a bearer by virtue of the bearer's exhibiting a continuous convex surface with an axis of symmetry and one axis longer than the other; egg-shaped.
egg viability,PATO,CL:0000025,egg cell,A female gamete where meiosis has progressed to metaphase II and is able to participate in fertilization.
egg viability,PATO,GO:0007343,egg activation,"The process in which the egg becomes metabolically active, initiates protein and DNA synthesis and undergoes structural changes to its cortex and/or cytoplasm."
engorgement period,OBA,OBA:VT0002292,gestation period duration,The duration of a female pregnancy.
engorgement period,OBA,OBA:2051617,level of period circadian protein homolog 3 in blood,The amount of a period circadian protein homolog 3 when measured in blood.
engorgement period,OBA,PR:000050150,period circadian protein homolog,Category=family.
engorgement period,OBA,PR:000012549,period circadian protein homolog 3,Category=gene.
engorgement period,OBA,PR:O70361,period circadian protein homolog 3 (mouse),Category=organism-gene.
engorgement period,PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
engorgement period,PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
engorgement period,PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
engorgement period,PATO,PATO:0000695,synchronous,A quality of a single process inhering in a bearer by virtue of the bearer's occurring or existing at the same time or having the same period or phase.
engorgement period,PATO,PATO:0000688,asynchronous,A quality of a single process inhering in a bearer by virtue of the bearer's not occurring or existing at the same time or having the same period or phase.
fat consumption rate,OBA,OBA:1000654,saccharin consumption quality,The quality of a saccharin consumption.
fat consumption rate,OBA,OBA:1000679,cocaine consumption quality,The quality of a cocaine consumption.
fat consumption rate,OBA,OBA:1000690,food consumption quality,The quality of a food consumption.
fat consumption rate,OBA,OBA:1000840,alcohol consumption quality,The quality of a alcohol consumption.
fat consumption rate,OBA,OBA:0002011,micturition rate,The rate of a micturition.
fat consumption rate,PATO,PATO:0000161,rate,A quality of a single process inhering in a bearer by virtue of the bearer's occurrence per unit time.
fat consumption rate,PATO,PATO:0000911,decreased rate,A rate which is relatively low.
fat consumption rate,PATO,PATO:0000912,increased rate,A rate which is relatively high.
fat consumption rate,PATO,PATO:0001492,growth rate,The rate or speed of the change in size of an individual entity or change in number of a population.
fat consumption rate,PATO,PATO:0001574,flow rate,A physical quality inhering in a bearer by virtue of the bearer's motion characteristic.
fat content,OBA,OBA:2045435,stomach content pH,The acidity of a stomach lumen.
fat content,OBA,OBA:VT0010714,milk zinc content,The amount of a zinc atom when measured in milk.
fat content,OBA,OBA:2045301,erythrocyte hemoglobin content trait,The amount of a hemoglobin when measured in erythrocyte.
fat content,OBA,OBA:0004528,fat pad mass,The mass of a fat pad.
fat content,OBA,OBA:2050198,pericardial fat amount,The amount of a pericardial fat.
fat content,PATO,PATO:0000025,composition,"For example calcium composition (which may inhere in bone), haemoglobin composition (which may inhere in blood)."
fat content,PATO,UBERON:0015129,epicardial fat,Visceral intrapericardial fat contiguous with the myocardial surface.
fat content,PATO,UBERON:0035814,pericardial fat,The sum of epicardial and paracardial fat deposits.
fat content,PATO,UBERON:0035815,paracardial fat,Fat deposits in the mediastinum outside the parietal pericardium .
fat content,PATO,UBERON:0035818,visceral fat,Any fat deposit surrounding a visceral organ.
fecundity,OBA,PATO:0000273,fecundity,NA
fecundity,OBA,OBA:0003697,multicellular organism fecundity,The fecundity of a multicellular organism.
fecundity,OBA,PATO:0001695,increased fecundity,NA
fecundity,OBA,PATO:0001696,decreased fecundity,NA
fecundity,OBA,PATO:0045017,normal fecundity,A fecundity which is relatively normal or average.
fecundity,PATO,PATO:0000273,fecundity,A reproductive quality inhering in an organism or population by virtue of the bearer's potential reproductive capacity ad measured by the number of gametes.
fecundity,PATO,PATO:0001695,increased fecundity,A fecundity which is relatively high.
fecundity,PATO,PATO:0001696,decreased fecundity,A fecundity which is relatively low.
fecundity,PATO,PATO:0045017,normal fecundity,A fecundity which is relatively normal or average.
fecundity,PATO,PCO:0000003,quality of a population,A quality that inheres in a population of organisms.
fecundity (alate),OBA,OBA:0003697,multicellular organism fecundity,The fecundity of a multicellular organism.
fecundity (alate),OBA,PATO:0000273,fecundity,NA
fecundity (alate),OBA,PATO:0001695,increased fecundity,NA
fecundity (alate),OBA,PATO:0001696,decreased fecundity,NA
fecundity (alate),OBA,PATO:0045017,normal fecundity,A fecundity which is relatively normal or average.
fecundity (alate),PATO,PATO:0000273,fecundity,A reproductive quality inhering in an organism or population by virtue of the bearer's potential reproductive capacity ad measured by the number of gametes.
fecundity (alate),PATO,PATO:0001695,increased fecundity,A fecundity which is relatively high.
fecundity (alate),PATO,PATO:0001696,decreased fecundity,A fecundity which is relatively low.
fecundity (alate),PATO,PATO:0045017,normal fecundity,A fecundity which is relatively normal or average.
fecundity (alate),PATO,PCO:0000003,quality of a population,A quality that inheres in a population of organisms.
fecundity (apterous),OBA,OBA:0003697,multicellular organism fecundity,The fecundity of a multicellular organism.
fecundity (apterous),OBA,PATO:0000273,fecundity,NA
fecundity (apterous),OBA,PATO:0001695,increased fecundity,NA
fecundity (apterous),OBA,PATO:0001696,decreased fecundity,NA
fecundity (apterous),OBA,PATO:0045017,normal fecundity,A fecundity which is relatively normal or average.
fecundity (apterous),PATO,PATO:0000273,fecundity,A reproductive quality inhering in an organism or population by virtue of the bearer's potential reproductive capacity ad measured by the number of gametes.
fecundity (apterous),PATO,PATO:0001695,increased fecundity,A fecundity which is relatively high.
fecundity (apterous),PATO,PATO:0001696,decreased fecundity,A fecundity which is relatively low.
fecundity (apterous),PATO,PATO:0045017,normal fecundity,A fecundity which is relatively normal or average.
fecundity (apterous),PATO,PCO:0000003,quality of a population,A quality that inheres in a population of organisms.
fecundity rate,OBA,OBA:0003697,multicellular organism fecundity,The fecundity of a multicellular organism.
fecundity rate,OBA,PATO:0000273,fecundity,NA
fecundity rate,OBA,OBA:0002011,micturition rate,The rate of a micturition.
fecundity rate,OBA,OBA:0002200,reflex rate,The rate of a reflex.
fecundity rate,OBA,OBA:0002672,gluconeogenesis rate,The rate of a gluconeogenesis.
fecundity rate,PATO,PATO:0000273,fecundity,A reproductive quality inhering in an organism or population by virtue of the bearer's potential reproductive capacity ad measured by the number of gametes.
fecundity rate,PATO,PATO:0001695,increased fecundity,A fecundity which is relatively high.
fecundity rate,PATO,PATO:0001696,decreased fecundity,A fecundity which is relatively low.
fecundity rate,PATO,PATO:0045017,normal fecundity,A fecundity which is relatively normal or average.
fecundity rate,PATO,PATO:0000161,rate,A quality of a single process inhering in a bearer by virtue of the bearer's occurrence per unit time.
fecundity rate (alate),OBA,OBA:0003697,multicellular organism fecundity,The fecundity of a multicellular organism.
fecundity rate (alate),OBA,PATO:0000273,fecundity,NA
fecundity rate (alate),OBA,OBA:0002011,micturition rate,The rate of a micturition.
fecundity rate (alate),OBA,OBA:0002200,reflex rate,The rate of a reflex.
fecundity rate (alate),OBA,OBA:0002672,gluconeogenesis rate,The rate of a gluconeogenesis.
fecundity rate (alate),PATO,PATO:0000273,fecundity,A reproductive quality inhering in an organism or population by virtue of the bearer's potential reproductive capacity ad measured by the number of gametes.
fecundity rate (alate),PATO,PATO:0001695,increased fecundity,A fecundity which is relatively high.
fecundity rate (alate),PATO,PATO:0001696,decreased fecundity,A fecundity which is relatively low.
fecundity rate (alate),PATO,PATO:0045017,normal fecundity,A fecundity which is relatively normal or average.
fecundity rate (alate),PATO,PATO:0000161,rate,A quality of a single process inhering in a bearer by virtue of the bearer's occurrence per unit time.
fecundity rate (apterous),OBA,OBA:0003697,multicellular organism fecundity,The fecundity of a multicellular organism.
fecundity rate (apterous),OBA,PATO:0000273,fecundity,NA
fecundity rate (apterous),OBA,OBA:0002011,micturition rate,The rate of a micturition.
fecundity rate (apterous),OBA,OBA:0002200,reflex rate,The rate of a reflex.
fecundity rate (apterous),OBA,OBA:0002672,gluconeogenesis rate,The rate of a gluconeogenesis.
fecundity rate (apterous),PATO,PATO:0000273,fecundity,A reproductive quality inhering in an organism or population by virtue of the bearer's potential reproductive capacity ad measured by the number of gametes.
fecundity rate (apterous),PATO,PATO:0001695,increased fecundity,A fecundity which is relatively high.
fecundity rate (apterous),PATO,PATO:0001696,decreased fecundity,A fecundity which is relatively low.
fecundity rate (apterous),PATO,PATO:0045017,normal fecundity,A fecundity which is relatively normal or average.
fecundity rate (apterous),PATO,PATO:0000161,rate,A quality of a single process inhering in a bearer by virtue of the bearer's occurrence per unit time.
feed conversion rate,OBA,OBA:0002011,micturition rate,The rate of a micturition.
feed conversion rate,OBA,OBA:0002200,reflex rate,The rate of a reflex.
