OriginalTraitName,OriginalTraitDef,OriginalTraitUnit,text,version,cluster_id
development time,mean duration of life stage,days,Trait: development time. Definition: mean duration of life stage.,v2,16
fecundity,mean lifetime offspring,offspring individual-1,Trait: fecundity. Definition: mean lifetime offspring.,v2,11
longevity,mean duration of life stage,days,Trait: longevity. Definition: mean duration of life stage.,v2,17
reproductive period,mean duration of life stage,days,Trait: reproductive period. Definition: mean duration of life stage.,v2,18
survival,proportion surviving life stage,proportion,Trait: survival. Definition: proportion surviving life stage.,v2,14
mortality rate,per capita daily mortality,individual-1 day-1,Trait: mortality rate. Definition: per capita daily mortality.,v2,-1
ovipositional period,mean duration of life stage,days,Trait: ovipositional period. Definition: mean duration of life stage.,v2,18
survival,percent surviving life stage,percent,Trait: survival. Definition: percent surviving life stage.,v2,14
development time,median duration of life stage,days,Trait: development time. Definition: median duration of life stage.,v2,16
longevity,median duration of life stage,days,Trait: longevity. Definition: median duration of life stage.,v2,17
fecundity rate,mean number of nymphs produced individual-1 during a period equivalent to the prereporoductive time,nymphs unit time-1,Trait: fecundity rate. Definition: mean number of nymphs produced individual-1 during a period equivalent to the prereporoductive time.,v2,11
mortality,percent not surviving life stage,percent,Trait: mortality. Definition: percent not surviving life stage.,v2,12
pre-oviposition period,mean duration from adult emergence to onset of reproduction,days,Trait: pre-oviposition period. Definition: mean duration from adult emergence to onset of reproduction.,v2,18
fecundity,mean lifetime nymphs individual-1,nymphs individual-1,Trait: fecundity. Definition: mean lifetime nymphs individual-1.,v2,11
fecundity rate,mean eggs individual-1 day-1,eggs individual-1 day-1,Trait: fecundity rate. Definition: mean eggs individual-1 day-1.,v2,11
fecundity rate,mean offspring per day,eggs individual-1 day-1,Trait: fecundity rate. Definition: mean offspring per day.,v2,11
blood feeding frequency,mean lifetime blood meals individual-1,blood meals,Trait: blood feeding frequency. Definition: mean lifetime blood meals individual-1.,v2,-1
body size,mean wet mass,mg,Trait: body size. Definition: mean wet mass.,v2,5
development time,mean duration period from aphid birth to its first reproduction,days,Trait: development time. Definition: mean duration period from aphid birth to its first reproduction.,v2,16
fecundity,mean number of progeny in a reproductive period equal to development time,progeny indidividual-1,Trait: fecundity. Definition: mean number of progeny in a reproductive period equal to development time.,v2,11
body size,mean wing length (mm),mm,Trait: body size. Definition: mean wing length (mm).,v2,-1
longevity,median adult lifespan,days,Trait: longevity. Definition: median adult lifespan.,v2,17
ovipositioning,proportion of blood fed mosquitoes laying egg rafts,proportion,Trait: ovipositioning. Definition: proportion of blood fed mosquitoes laying egg rafts.,v2,-1
development rate,mean rate of life stage completion,days-1,Trait: development rate. Definition: mean rate of life stage completion.,v2,16
fecundity,mean lifetime eggs individual-1,eggs individual-1,Trait: fecundity. Definition: mean lifetime eggs individual-1.,v2,11
