OriginalTraitName,OriginalTraitDef,OriginalTraitUnit,ConOrder,ConFamily,ConStage,text,version,cluster_id
Resource Consumption Rate,The number of resource consumed per number of consumers per time,individual / (1 individual * 24 hour),Diptera,Chaoboridae,instar 2,Trait: Resource Consumption Rate. Definition: The number of resource consumed per number of consumers per time.,v2,8
Resource Mass Consumption Rate,The mass of resource consumed by consumers per time,microgram (body mass - dry) / (1 individual * 1 minute),Perciformes,Percidae,larvae,Trait: Resource Mass Consumption Rate. Definition: The mass of resource consumed by consumers per time.,v2,8
Mass-Specific Mass Consumption Rate,The mass of resource consumed by mass of consumers per time,milligram (body mass - wet) / (1 gram (body mass - wet) * 24 hour),Cladocera,Daphniidae,adult,Trait: Mass-Specific Mass Consumption Rate. Definition: The mass of resource consumed by mass of consumers per time.,v2,-1
Voluntary Body Velocity,Velocity of the whole organism with no apparent stimulus,millimeter / (1 individual * 1 second),Cladocera,Polyphemidae,adult,Trait: Voluntary Body Velocity. Definition: Velocity of the whole organism with no apparent stimulus.,v2,-1
Forward Attack Distance,Distance to a resource when a consumer initiates an attack when resource positioned directly in front of the forward body axis of the consumer,centimeter / 1 individual,Salmoniformes,Salmonidae,adult,Trait: Forward Attack Distance. Definition: Distance to a resource when a consumer initiates an attack when resource positioned directly in front of the forward body axis of the consumer.,v2,-1
Foraging Velocity,Velocity of the whole animal when foraging for food,centimeter / (1 individual * 1 second),Perciformes,Percidae,adult,Trait: Foraging Velocity. Definition: Velocity of the whole animal when foraging for food.,v2,-1
Resource Reaction Distance,"Distance from resource to consumer when resource apparently first reacts to approaching consumer (i.e., stops and/or moves away)",centimeter / 1 individual,Perciformes,Centrarchidae,adult,"Trait: Resource Reaction Distance. Definition: Distance from resource to consumer when resource apparently first reacts to approaching consumer (i.e., stops and/or moves away).",v2,-1
Mass-Specific Consumption Rate,The number of resource consumed per consumer mass per time,individual / (100 gram (body mass - wet) * 7 day),Perciformes,Centrarchidae,adult,Trait: Mass-Specific Consumption Rate. Definition: The number of resource consumed per consumer mass per time.,v2,8
Attack Number Rate,Number of attacks per consumer number per time,event / (3 individual * 30 minute),Perciformes,Percidae,juvenile,Trait: Attack Number Rate. Definition: Number of attacks per consumer number per time.,v2,-1
Strike Rate,Rate at which a consumer strikes at resource per consumer individual per time,event / (1 individual * 1 hour),Decapoda,Portunidae,adult,Trait: Strike Rate. Definition: Rate at which a consumer strikes at resource per consumer individual per time.,v2,-1
Subjugation Persistence Duration,Time consumer spends subjugating each resource until it gives up and rejects it without consumption (occurs when resource subjugation is not successful),second,Decapoda,Portunidae,adult,Trait: Subjugation Persistence Duration. Definition: Time consumer spends subjugating each resource until it gives up and rejects it without consumption (occurs when resource subjugation is not successful).,v2,7
Ingestion Duration,Time spent by a consumer ingesting each resource,second / 1 individual,Decapoda,Portunidae,adult,Trait: Ingestion Duration. Definition: Time spent by a consumer ingesting each resource.,v2,-1
Subjugation Duration,Time taken by a consumer to subjugate its resource measured as time per resource per consumer,second / 1 individual,Decapoda,Portunidae,adult,Trait: Subjugation Duration. Definition: Time taken by a consumer to subjugate its resource measured as time per resource per consumer.,v2,7
Filtration Rate,"Volumetric flow rate of water through a filter feeding consumer (flow rate measured directly, not by clearance of material from the fluid)",liter / (1 individual * 1 hour),Mytiloida,Mytilidae,adult,"Trait: Filtration Rate. Definition: Volumetric flow rate of water through a filter feeding consumer (flow rate measured directly, not by clearance of material from the fluid).",v2,-1
Mass-Specific Filtration Rate,"Mass-Specific volumetric flow rate of water through a filter feeding consumer (flow rate measured directly, not by clearance of material from the fluid)",liter / (1 gram (body mass - wet) * 1 hour),Myoida,Hiatellidae,adult,"Trait: Mass-Specific Filtration Rate. Definition: Mass-Specific volumetric flow rate of water through a filter feeding consumer (flow rate measured directly, not by clearance of material from the fluid).",v2,-1
Handling Duration,"Time taken by a consumer to pursue, subjugate and ingest resource",hour / 1 individual,Decapoda,Crangonidae,adult,"Trait: Handling Duration. Definition: Time taken by a consumer to pursue, subjugate and ingest resource.",v2,7
Subjugation-through-Consumption Duration,Time taken by a consumer to subdue each resource (expressed as time per resource individual per consumer individual),second / (1 individual * 1 individual),Decapoda,Portunidae,adult,Trait: Subjugation-through-Consumption Duration. Definition: Time taken by a consumer to subdue each resource (expressed as time per resource individual per consumer individual).,v2,7
Avoidance Body Velocity,Velocity of the body during movement of a resource in avoidance of a weak stimulus (differs from Escape Burst Body Velocity because the stimulus is not an immediate threat),micrometer / (1 individual * 1 second),NA,NA,NA,Trait: Avoidance Body Velocity. Definition: Velocity of the body during movement of a resource in avoidance of a weak stimulus (differs from Escape Burst Body Velocity because the stimulus is not an immediate threat).,v2,-1
Consumption Time Per Consumer Resource,Time taken by consumer to consume each resource density,second / 1 individual,Decapoda,Portunidae,adult,Trait: Consumption Time Per Consumer Resource. Definition: Time taken by consumer to consume each resource density.,v2,-1
Strike Distance,Distance between a consumer and resource when consumer initiates a strike per consumer,centimeter / 1 individual,Scorpaeniformes,Cottidae,adult,Trait: Strike Distance. Definition: Distance between a consumer and resource when consumer initiates a strike per consumer.,v2,-1
Host-Per-Parasitoid Parasitization Rate,Number of hosts parasitized per parasitoid per time,individual / (1 individual * 24 hour),Hymenoptera,Braconidae,adult,Trait: Host-Per-Parasitoid Parasitization Rate. Definition: Number of hosts parasitized per parasitoid per time.,v2,3
Escape Body Velocity,Velocity of the whole body during escape burst movement of a resource,centimeter / (1 individual * 1 second),NA,NA,NA,Trait: Escape Body Velocity. Definition: Velocity of the whole body during escape burst movement of a resource.,v2,6
Foraging Body Undulation Rate,Rate of undulating body strokes used for feeding,event / (1 individual * 1 minute),Aciculata,Nereididae,adult,Trait: Foraging Body Undulation Rate. Definition: Rate of undulating body strokes used for feeding.,v2,-1
Predation Mortality Rate,Mortality rate of resource population to consumers normalised by resource and consumer population densities per time,event / (1 individual * 1 individual * 24 hour),Decapoda,Crangonidae,adult,Trait: Predation Mortality Rate. Definition: Mortality rate of resource population to consumers normalised by resource and consumer population densities per time.,v2,-1
Consumer Search Rate,The area an individual consumer searches when foraging per time (calculated as the number of attacks standardized by resource density and the size of the arena),square meter / (1 individual * 1 hour),Decapoda,Crangonidae,adult,Trait: Consumer Search Rate. Definition: The area an individual consumer searches when foraging per time (calculated as the number of attacks standardized by resource density and the size of the arena).,v2,-1
Successful Attack Probability,The number of attacks that resulted in consumption of resource in proportion to the total number of attacks attempted,proportion / 1 individual,Perciformes,Percidae,juvenile,Trait: Successful Attack Probability. Definition: The number of attacks that resulted in consumption of resource in proportion to the total number of attacks attempted.,v2,-1
Faecal Excretion Rate,Mass of faeces excreted by a consumer individual per time,milligram (body mass - dry) / (1 individual * 24 hour),Ephemeroptera,Ephemeridae,nymph,Trait: Faecal Excretion Rate. Definition: Mass of faeces excreted by a consumer individual per time.,v2,-1
Voluntary Tail Beat Rate,Rate of tail-beat cycles of an organism during voluntary locomotion,event / (1 individual * 1 second),Diptera,Ceratopogonidae,instar 4,Trait: Voluntary Tail Beat Rate. Definition: Rate of tail-beat cycles of an organism during voluntary locomotion.,v2,6
'Submerged' Attack Probability,Proportion of times a consumer attacked resource when the consumer was submerged to the total number of attacks (consumer also attacked from the water surface),percent / 1 individual,Hemiptera,Notonectidae,adult,Trait: 'Submerged' Attack Probability. Definition: Proportion of times a consumer attacked resource when the consumer was submerged to the total number of attacks (consumer also attacked from the water surface).,v2,-1
Resource Habitat Encounter Rate,Total number of times a consumer encounters its resource habitat within the larger landscape per consumer per time,event / (1 individual * 66 minute),Coleoptera,Carabidae,adult,Trait: Resource Habitat Encounter Rate. Definition: Total number of times a consumer encounters its resource habitat within the larger landscape per consumer per time.,v2,-1
Unsuccessful Attack Rate,Rate of attacks that did not result in consumption of the resource per consumer (or group of consumers) when foraging,event / (1 individual * 5 minute),Squamata,Lacertidae,adult,Trait: Unsuccessful Attack Rate. Definition: Rate of attacks that did not result in consumption of the resource per consumer (or group of consumers) when foraging.,v2,-1
Foraging Probability,Proportion of time an animal spends foraging,proportion,Coleoptera,Carabidae,adult,Trait: Foraging Probability. Definition: Proportion of time an animal spends foraging.,v2,5
Resource Consumption Probability,Amount of resource eaten by a consumer as a proportion to the total amount available,proportion,Decapoda,Portunidae,adult,Trait: Resource Consumption Probability. Definition: Amount of resource eaten by a consumer as a proportion to the total amount available.,v2,8
Escape Apparent Visual Looming Threshold,Threshold at which the rate of change of the visual angle subtended by an attacking consumers frontal profile onto the resource's eye triggers an escape response by the resource,radian / (1 individual * 1 second),Clupeiformes,Clupeidae,juvenile,Trait: Escape Apparent Visual Looming Threshold. Definition: Threshold at which the rate of change of the visual angle subtended by an attacking consumers frontal profile onto the resource's eye triggers an escape response by the resource.,v2,-1
Mass-Specific Ammonia Excretion Rate,Rate of ammonia (NH3) mass excretion per consumer mass per time,milligram (body mass - dry) / (1 gram (body mass - wet) * 1 day),Cladocera,Daphniidae,adult,Trait: Mass-Specific Ammonia Excretion Rate. Definition: Rate of ammonia (NH3) mass excretion per consumer mass per time.,v2,-1
Flee Distance,"Distance moved by a resource when fleeing a predator before stopping (includes escape burst component and other slower movement, if present)",centimeter / 1 individual,Primates,Hominidae,adult,"Trait: Flee Distance. Definition: Distance moved by a resource when fleeing a predator before stopping (includes escape burst component and other slower movement, if present).",v2,-1
Escape Tail Beat Rate,Rate of tail beats of a resource individual during locomotion for escape,event / (1 individual * 1 second),NA,NA,NA,Trait: Escape Tail Beat Rate. Definition: Rate of tail beats of a resource individual during locomotion for escape.,v2,6
Escape Stroke Length,Distance covered by a resource in a single locomotory stroke during escape,millimeter / 1 individual,NA,NA,NA,Trait: Escape Stroke Length. Definition: Distance covered by a resource in a single locomotory stroke during escape.,v2,6
Voluntary Stroke Length,Distance covered by an organism in a single locomotory stroke during voluntary locomotion,centimeter / 1 individual,Pleurogona,Styelidae,larvae,Trait: Voluntary Stroke Length. Definition: Distance covered by an organism in a single locomotory stroke during voluntary locomotion.,v2,6
Filtration Metabolic Efficiency Volume,Mass-specific metabolic efficiency of the filtration process expressed as water volume per oxygen volume per consumer individual,milliliter / (1 microliter * 1 individual),Veneroida,Cardiidae,adult,Trait: Filtration Metabolic Efficiency Volume. Definition: Mass-specific metabolic efficiency of the filtration process expressed as water volume per oxygen volume per consumer individual.,v2,-1
Refuge Distance,"Distance to refuge for a resource when initially spotted by a consumer (e.g., bush, rock, clump of grass)",meter / 1 individual,Primates,Hominidae,adult,"Trait: Refuge Distance. Definition: Distance to refuge for a resource when initially spotted by a consumer (e.g., bush, rock, clump of grass).",v2,-1
